ó^Ç¶ÇΩèdóvìx,0.230000,0.370000,0.200000,0.300000,0.170000,0.230000,0.100000,0.200000,0.030000,0.170000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
129,0.248625, 0.539191,0.090737, 0.320783,0.144531, 0.218183,0.063559, 0.234354,0.000001, 0.140035,0.905094
130,0.181424, 0.370590,0.186612, 0.507907,0.088641, 0.274207,0.072810, 0.188564,0.038231, 0.091013,0.864563
131,0.308586, 0.410467,0.177453, 0.274229,0.154293, 0.205233,0.097754, 0.179763,0.068996, 0.123224,0.385834
132,0.291246, 0.484358,0.129327, 0.275198,0.167387, 0.202262,0.129267, 0.232375,0.010173, 0.078406,0.545199
133,0.146908, 0.326795,0.185822, 0.429258,0.135337, 0.307540,0.027616, 0.293815,0.028482, 0.118426,0.951670
134,0.184817, 0.558346,0.171596, 0.382710,0.069717, 0.257041,0.052857, 0.155162,0.000001, 0.167752,1.042023
135,0.139118, 0.272970,0.206044, 0.419012,0.128524, 0.223562,0.114695, 0.349760,0.022859, 0.123456,0.777520
136,0.197458, 0.415905,0.141708, 0.330256,0.145338, 0.283107,0.057783, 0.208274,0.110085, 0.110085,0.695256
137,0.168412, 0.400469,0.154317, 0.275752,0.154317, 0.275752,0.111671, 0.260247,0.016770, 0.182291,0.789026
138,0.121159, 0.410739,0.168750, 0.434006,0.132975, 0.365918,0.068953, 0.150689,0.013837, 0.132975,0.988653
139,0.246307, 0.512224,0.166723, 0.231159,0.166723, 0.231159,0.039811, 0.173235,0.000001, 0.232657,0.760869
140,0.196655, 0.463708,0.214970, 0.299360,0.186075, 0.257165,0.058993, 0.128582,0.003804, 0.190688,0.679006
141,0.246687, 0.292344,0.221195, 0.361704,0.157234, 0.270306,0.098935, 0.268433,0.034439, 0.048724,0.483022
142,0.181514, 0.368970,0.132225, 0.281887,0.197168, 0.268307,0.107139, 0.330563,0.041538, 0.090687,0.680830
143,0.075026, 0.449687,0.074236, 0.446264,0.131178, 0.345537,0.038585, 0.313918,0.000001, 0.125566,1.361945
144,0.194042, 0.446977,0.114812, 0.332165,0.031010, 0.336700,0.016846, 0.399353,0.021260, 0.106836,1.244062
145,0.227479, 0.277516,0.144558, 0.268167,0.227479, 0.277516,0.192878, 0.265983,0.026776, 0.091647,0.361659
146,0.176475, 0.417907,0.189017, 0.374755,0.167323, 0.292435,0.039074, 0.259735,0.000001, 0.083278,0.856221
147,0.197838, 0.509846,0.123875, 0.289515,0.068638, 0.298151,0.111016, 0.195657,0.024164, 0.181300,0.948938
148,0.240423, 0.313665,0.191071, 0.386026,0.105745, 0.273468,0.101901, 0.138522,0.075907, 0.173271,0.569905
149,0.280082, 0.304332,0.151808, 0.314893,0.145321, 0.292207,0.131120, 0.266291,0.026438, 0.087508,0.530463
