ó^Ç¶ÇΩèdóvìx,0.250000,0.350000,0.200000,0.300000,0.150000,0.250000,0.100000,0.200000,0.050000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
119,0.289511, 0.385938,0.214586, 0.299504,0.192969, 0.215167,0.098808, 0.099448,0.096485, 0.107583,0.215282
120,0.227141, 0.417727,0.190510, 0.227141,0.190510, 0.227141,0.152874, 0.202567,0.046759, 0.117631,0.384414
121,0.229307, 0.351097,0.276212, 0.284999,0.172988, 0.284967,0.138033, 0.142572,0.037705, 0.082119,0.291507
122,0.303523, 0.390972,0.175431, 0.337047,0.108468, 0.205401,0.102701, 0.211190,0.047102, 0.118165,0.525550
123,0.202095, 0.220041,0.208878, 0.362318,0.143687, 0.234175,0.108149, 0.286316,0.090653, 0.143687,0.493075
124,0.312468, 0.389003,0.194502, 0.405734,0.116212, 0.178935,0.062225, 0.132584,0.070070, 0.138268,0.489048
125,0.233789, 0.363324,0.188513, 0.233789,0.203237, 0.256310,0.123967, 0.203614,0.065054, 0.128403,0.370881
126,0.308792, 0.330828,0.190565, 0.342691,0.120813, 0.195596,0.114230, 0.206714,0.058550, 0.131221,0.414100
127,0.247233, 0.356899,0.302883, 0.380513,0.114621, 0.190850,0.088591, 0.123617,0.074469, 0.120324,0.344405
128,0.262677, 0.324785,0.262677, 0.324785,0.162393, 0.230065,0.102752, 0.131339,0.062384, 0.136143,0.294236
129,0.258932, 0.455272,0.161660, 0.258932,0.174748, 0.206639,0.131720, 0.195995,0.056076, 0.100025,0.433726
130,0.198627, 0.361783,0.287497, 0.371717,0.154298, 0.198627,0.091945, 0.176206,0.056957, 0.102345,0.421355
131,0.331111, 0.395968,0.197984, 0.220909,0.165555, 0.197984,0.106597, 0.174446,0.098992, 0.110455,0.199523
132,0.296348, 0.455495,0.179661, 0.275639,0.130631, 0.192163,0.140725, 0.202073,0.053178, 0.074087,0.398914
133,0.183116, 0.295545,0.268557, 0.330062,0.165031, 0.287826,0.126229, 0.177506,0.059169, 0.106959,0.395798
134,0.301728, 0.408432,0.204922, 0.326199,0.141655, 0.209704,0.090854, 0.154322,0.062398, 0.099786,0.396888
135,0.189914, 0.233482,0.232678, 0.378934,0.168328, 0.195429,0.175382, 0.255022,0.063755, 0.107076,0.339885
136,0.246837, 0.366526,0.177515, 0.294449,0.171021, 0.257424,0.091348, 0.174709,0.110085, 0.110085,0.406385
137,0.226413, 0.352115,0.176057, 0.233678,0.176057, 0.233678,0.145794, 0.234690,0.070209, 0.151310,0.410940
138,0.226544, 0.326997,0.253871, 0.309413,0.163499, 0.312911,0.104101, 0.126936,0.052330, 0.123397,0.399308
139,0.294050, 0.434154,0.191947, 0.219989,0.191947, 0.219989,0.092795, 0.149161,0.089157, 0.116811,0.280208
140,0.227104, 0.379796,0.230998, 0.279981,0.172020, 0.251406,0.093327, 0.125065,0.065870, 0.174434,0.421362
141,0.252359, 0.274976,0.223098, 0.340920,0.165871, 0.261021,0.130289, 0.229217,0.052204, 0.070046,0.352359
142,0.235956, 0.328584,0.166470, 0.257894,0.217766, 0.237369,0.164292, 0.235295,0.073138, 0.083235,0.284754
143,0.201599, 0.322372,0.183182, 0.349090,0.161186, 0.290300,0.105979, 0.223290,0.062048, 0.100953,0.572011
144,0.270396, 0.391898,0.172112, 0.273042,0.122559, 0.250546,0.112212, 0.255518,0.057558, 0.094158,0.530325
145,0.227803, 0.332755,0.168261, 0.251898,0.158783, 0.264186,0.216199, 0.232786,0.063199, 0.084130,0.331511
146,0.194976, 0.405787,0.240327, 0.306122,0.193046, 0.248886,0.075335, 0.205363,0.040739, 0.089418,0.511155
147,0.264399, 0.451844,0.147841, 0.282387,0.115827, 0.203837,0.101919, 0.194800,0.077046, 0.160099,0.585937
148,0.260449, 0.304522,0.231901, 0.309957,0.138695, 0.244560,0.114844, 0.130224,0.103319, 0.161529,0.301585
149,0.268801, 0.292724,0.184178, 0.301820,0.150564, 0.278559,0.139006, 0.230821,0.054976, 0.098550,0.404949
150,0.251383, 0.251383,0.197404, 0.331551,0.186365, 0.321270,0.101589, 0.197080,0.059451, 0.102523,0.407616
151,0.231963, 0.405553,0.198620, 0.231963,0.163773, 0.204858,0.125725, 0.222255,0.099310, 0.115981,0.361218
152,0.219578, 0.262727,0.258239, 0.308991,0.238125, 0.284921,0.093351, 0.111698,0.101238, 0.121132,0.178939
153,0.225030, 0.238039,0.233379, 0.357806,0.176079, 0.229456,0.148174, 0.265716,0.052202, 0.074119,0.330270
154,0.238284, 0.279478,0.252643, 0.328283,0.164110, 0.259996,0.139739, 0.176553,0.065657, 0.095257,0.279135
155,0.181359, 0.452707,0.178777, 0.299217,0.145697, 0.181721,0.145697, 0.181721,0.077121, 0.155981,0.542696
156,0.227917, 0.332194,0.198808, 0.238391,0.198808, 0.238391,0.107477, 0.208687,0.119196, 0.130132,0.295590
157,0.184006, 0.281139,0.281139, 0.321311,0.125175, 0.262977,0.129811, 0.199357,0.083386, 0.131699,0.392965
158,0.282878, 0.365358,0.194592, 0.282878,0.166990, 0.267877,0.127381, 0.200898,0.052607, 0.058541,0.351103
159,0.235199, 0.351508,0.275859, 0.320604,0.159757, 0.241635,0.137929, 0.160302,0.048243, 0.068965,0.286027
160,0.256974, 0.256974,0.216063, 0.317646,0.108748, 0.222757,0.149528, 0.285877,0.069355, 0.116076,0.398663
161,0.243318, 0.338953,0.196183, 0.298188,0.137436, 0.266175,0.112984, 0.229712,0.078959, 0.098091,0.462239
162,0.309976, 0.347345,0.173672, 0.367096,0.160785, 0.186017,0.092792, 0.187102,0.056502, 0.118713,0.412547
163,0.182046, 0.305230,0.286405, 0.337782,0.168891, 0.221139,0.140172, 0.202344,0.063470, 0.092522,0.318032
164,0.269100, 0.401023,0.176082, 0.269532,0.181575, 0.229738,0.106145, 0.181575,0.047547, 0.137684,0.439103
165,0.256295, 0.376360,0.181991, 0.338606,0.149545, 0.269569,0.119751, 0.146236,0.073118, 0.088528,0.438599
166,0.307502, 0.379982,0.215954, 0.332795,0.127925, 0.229738,0.090436, 0.139007,0.074663, 0.101998,0.367040
167,0.282678, 0.414737,0.190983, 0.227874,0.190983, 0.227874,0.102600, 0.141339,0.099761, 0.121171,0.265988
168,0.297471, 0.335907,0.220289, 0.313318,0.161183, 0.220432,0.149504, 0.179313,0.059771, 0.062812,0.223563
169,0.248010, 0.392686,0.228291, 0.276128,0.160097, 0.261166,0.092043, 0.104702,0.068455, 0.168420,0.406208
170,0.241240, 0.412685,0.191960, 0.241240,0.165480, 0.203820,0.115977, 0.210997,0.095978, 0.120623,0.378730
171,0.278726, 0.303317,0.243594, 0.359279,0.142992, 0.201022,0.119760, 0.169412,0.059946, 0.121953,0.309966
172,0.264225, 0.301806,0.176725, 0.331089,0.126724, 0.303258,0.136483, 0.176725,0.056240, 0.126724,0.479204
173,0.267288, 0.414321,0.186692, 0.296406,0.142691, 0.255470,0.101082, 0.134910,0.083918, 0.117222,0.436658
174,0.229863, 0.307274,0.270956, 0.379107,0.176956, 0.229863,0.095766, 0.139412,0.071416, 0.099388,0.310087
175,0.284040, 0.329395,0.204539, 0.385968,0.119576, 0.204539,0.120524, 0.147079,0.059263, 0.145077,0.424116
176,0.235805, 0.266390,0.213042, 0.350580,0.175290, 0.303274,0.124791, 0.172055,0.050529, 0.108244,0.401086
177,0.234053, 0.290735,0.172923, 0.404190,0.145368, 0.258732,0.073955, 0.182608,0.052723, 0.184712,0.641955
178,0.250466, 0.303014,0.250523, 0.339180,0.151507, 0.267233,0.105678, 0.130499,0.067836, 0.134065,0.347981
179,0.244919, 0.368445,0.183195, 0.279772,0.174156, 0.251398,0.139886, 0.180506,0.087922, 0.089801,0.339845
180,0.329069, 0.380353,0.190176, 0.255885,0.129116, 0.240544,0.106012, 0.170237,0.069491, 0.129116,0.352271
181,0.172710, 0.253883,0.253883, 0.407187,0.162167, 0.240781,0.116625, 0.184622,0.079394, 0.128749,0.430442
182,0.211220, 0.341400,0.294880, 0.356261,0.164912, 0.214543,0.107893, 0.173265,0.059377, 0.076247,0.323434
183,0.268913, 0.320604,0.229141, 0.319436,0.141366, 0.295474,0.099014, 0.114571,0.072098, 0.139382,0.378935
184,0.259159, 0.342753,0.154642, 0.272762,0.215731, 0.266401,0.127827, 0.154642,0.068551, 0.137533,0.348181
185,0.303031, 0.371547,0.169935, 0.324260,0.150322, 0.212325,0.093544, 0.169935,0.091040, 0.114062,0.384256
186,0.251931, 0.368911,0.168092, 0.276634,0.236915, 0.260685,0.107898, 0.168092,0.047418, 0.113424,0.375491
187,0.234766, 0.297007,0.248270, 0.314769,0.157385, 0.268541,0.099002, 0.165658,0.079014, 0.135587,0.363125
188,0.240045, 0.396238,0.172934, 0.311528,0.136440, 0.273797,0.080851, 0.128067,0.083867, 0.176233,0.571725
