ó^Ç¶ÇΩèdóvìx,0.270000,0.330000,0.200000,0.300000,0.130000,0.270000,0.100000,0.200000,0.070000,0.130000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
145,0.213023, 0.359565,0.184941, 0.241105,0.149153, 0.254420,0.184941, 0.241105,0.034607, 0.137141,0.466670
146,0.234070, 0.411048,0.217197, 0.312062,0.179199, 0.256323,0.078015, 0.156055,0.036395, 0.119636,0.510247
147,0.207277, 0.424254,0.171293, 0.315766,0.051241, 0.286781,0.090069, 0.239930,0.055507, 0.157883,0.849227
148,0.245069, 0.319902,0.176797, 0.365061,0.118187, 0.265067,0.103826, 0.141243,0.092264, 0.172584,0.527713
149,0.250686, 0.295591,0.130229, 0.366716,0.140272, 0.293772,0.125343, 0.227627,0.061565, 0.108200,0.583811
150,0.239124, 0.265928,0.179620, 0.429442,0.096113, 0.327829,0.118762, 0.171416,0.045504, 0.126263,0.641753
151,0.215291, 0.422224,0.184315, 0.246267,0.122150, 0.246480,0.101500, 0.246480,0.092158, 0.123134,0.569171
152,0.215275, 0.274813,0.237135, 0.294494,0.158585, 0.315990,0.061015, 0.151201,0.080460, 0.211033,0.495060
153,0.192542, 0.262593,0.220507, 0.344039,0.150976, 0.248610,0.156372, 0.267989,0.057975, 0.098397,0.443254
154,0.203341, 0.321036,0.219458, 0.338270,0.160518, 0.267205,0.131094, 0.189942,0.073885, 0.095250,0.423407
155,0.195342, 0.390624,0.234591, 0.319667,0.083727, 0.250180,0.096026, 0.181103,0.055118, 0.193622,0.670393
156,0.216184, 0.381030,0.192036, 0.240333,0.192036, 0.240333,0.078509, 0.232486,0.108092, 0.118960,0.426286
157,0.236131, 0.294576,0.259352, 0.300437,0.126107, 0.260243,0.098443, 0.189537,0.078929, 0.156247,0.402079
158,0.237652, 0.408500,0.157221, 0.318082,0.101604, 0.314442,0.076790, 0.237652,0.055635, 0.092423,0.742197
159,0.237583, 0.320238,0.219686, 0.365590,0.146319, 0.267721,0.129556, 0.176457,0.028138, 0.108711,0.477435
160,0.257775, 0.335050,0.164285, 0.365170,0.095527, 0.233043,0.071857, 0.281263,0.031745, 0.164285,0.757622
161,0.150448, 0.431823,0.177051, 0.317320,0.112476, 0.291135,0.097045, 0.245651,0.059527, 0.117524,0.806908
162,0.271178, 0.411200,0.135712, 0.366115,0.100584, 0.170595,0.113908, 0.205600,0.065354, 0.159754,0.626528
163,0.180174, 0.310154,0.241095, 0.363843,0.155077, 0.248640,0.129693, 0.190503,0.065350, 0.115471,0.457222
164,0.336107, 0.384972,0.144820, 0.275135,0.171860, 0.213112,0.099430, 0.192486,0.056867, 0.125212,0.381832
165,0.281755, 0.427923,0.171188, 0.307190,0.097023, 0.264416,0.095666, 0.177420,0.070439, 0.106981,0.567859
166,0.290572, 0.372321,0.181526, 0.373863,0.104602, 0.258450,0.050979, 0.181526,0.075678, 0.110482,0.593285
167,0.245922, 0.453042,0.170469, 0.252770,0.123719, 0.248563,0.077828, 0.168094,0.094432, 0.165161,0.575262
168,0.279109, 0.350089,0.200501, 0.323322,0.139935, 0.226505,0.130450, 0.184149,0.056120, 0.109819,0.387769
169,0.201444, 0.408588,0.211998, 0.301540,0.124811, 0.301540,0.085590, 0.115437,0.042697, 0.206357,0.666922
170,0.218994, 0.403435,0.138612, 0.299376,0.151803, 0.225093,0.110172, 0.221346,0.084092, 0.147077,0.592654
171,0.239960, 0.342083,0.206688, 0.396184,0.102178, 0.241836,0.100479, 0.188693,0.031181, 0.150718,0.639029
172,0.224029, 0.326761,0.162812, 0.327330,0.117940, 0.319888,0.106863, 0.214747,0.037198, 0.162432,0.702316
173,0.246662, 0.443584,0.177151, 0.307994,0.131676, 0.234390,0.072554, 0.167972,0.085752, 0.132264,0.572408
174,0.225114, 0.291550,0.239495, 0.396879,0.157958, 0.258332,0.095588, 0.143907,0.067083, 0.124093,0.429523
175,0.271513, 0.354208,0.169437, 0.393338,0.067560, 0.258307,0.100200, 0.171314,0.022288, 0.191836,0.738005
176,0.210049, 0.313922,0.182905, 0.384695,0.132423, 0.273822,0.129624, 0.189835,0.040827, 0.141900,0.608346
177,0.234998, 0.319472,0.172995, 0.401698,0.123551, 0.195920,0.080665, 0.252066,0.043832, 0.174802,0.687916
178,0.240423, 0.313665,0.191071, 0.386026,0.105745, 0.273468,0.101901, 0.138522,0.075907, 0.173271,0.569905
